SYMPTOMS,DISEASE/CONDITION,RECOMMENDED FOOD,
"Chronic fatigue, brain fog, muscle pain, headaches",Chronic Fatigue Syndrome,"Magnesium-rich foods (spinach, almonds), omega-3 rich foods (salmon, chia seeds)",
"Sudden chest pain, severe anxiety, sweating",Panic Disorder,"Chamomile tea, dark leafy greens, magnesium-rich foods (spinach, nuts)",
"Unsteady gait, slurred speech, double vision",Ataxia,"Foods rich in vitamin E (nuts, seeds), omega-3 rich foods (salmon, flaxseeds)",
"Short stature, delayed growth, joint pain",Growth Hormone Deficiency,"Lean proteins (chicken, fish), whole grains, fruits, and vegetables",
"Anxiety, agitation, delusions, hallucinations",Schizophrenia,"Omega-3 rich foods (fish, flaxseeds), whole grains, leafy greens",
"Low energy, depression, cold intolerance, constipation",Hypothyroidism,"Iodine-rich foods (seaweed), lean meats, dairy products",
"Fever, sweating, fatigue, cough",Acute Bronchitis,"Honey, ginger, garlic, warm fluids (tea, soup)",
"Sudden vision changes, leg cramps, dizziness",Hyperkalemia (high potassium),"Low-potassium foods (apples, rice, pasta), hydration (water, lemon water)",
"Severe headaches, vomiting, neck stiffness, confusion",Subarachnoid Hemorrhage,"Hydration, magnesium-rich foods (almonds, spinach), anti-inflammatory foods",
"Extreme fatigue, chest pain, fast heartbeat",Myocarditis,"Lean proteins, fruits, whole grains, anti-inflammatory foods (turmeric, berries)",
"Recurrent infections, swollen lymph nodes, easy bruising",Lymphoma,"Leafy greens, lean proteins, whole grains, antioxidant-rich foods (blueberries, carrots)",
"Difficulty swallowing, heartburn, sore throat",Esophagitis,"Non-acidic fruits (bananas, melons), oatmeal, ginger, lean proteins",
"Chronic pain, joint swelling, skin nodules",Rheumatic Fever,"Omega-3 rich foods (fish, flaxseeds), turmeric, anti-inflammatory foods",
"Sudden abdominal pain, nausea, vomiting",Appendicitis,"Hydration, easy-to-digest foods (applesauce, broth, plain rice) after surgery",
"Pain in lower back, numbness in legs, difficulty walking",Sciatica,"Anti-inflammatory foods (turmeric, ginger), magnesium-rich foods (spinach, almonds)",
"Persistent diarrhea, fatigue, mouth sores, joint pain",Celiac Disease,"Gluten-free grains (quinoa, rice), leafy greens, lean proteins",
"Slow growth, chronic cough, fatigue",Cystic Fibrosis,"High-calorie, nutrient-dense foods (avocados, nuts, fatty fish), hydration",
"Burning pain in upper abdomen, nausea, vomiting",Gastric Ulcer,"Oatmeal, ginger, bananas, honey, lean proteins",
"Chronic leg pain, difficulty walking, leg ulcers",Peripheral Artery Disease (PAD),"Omega-3 rich foods (fish, flaxseeds), whole grains, fruits, vegetables",
"Severe itching, dark urine, yellowing of skin/eyes",Liver Failure,"Lean proteins, whole grains, antioxidant-rich foods (berries, leafy greens)",
"Chest tightness, fatigue, joint pain",Sarcoidosis,"Omega-3 rich foods (salmon, walnuts), turmeric, anti-inflammatory foods",
"Sudden chest pain, shortness of breath, cough",Pneumothorax,"Hydration, antioxidant-rich foods (blueberries, spinach), vitamin C-rich foods (citrus)",
"Sudden weight gain, puffy face, fatigue",Hypoadrenalism,"Sea salt, lean proteins, whole grains, bananas",
"Loss of appetite, dry mouth, constipation",Hypercalcemia,"Hydration (water, lemon water), low-calcium foods (rice, oats)",
"Chest pain, arm pain, sweating, nausea",Angina,"Omega-3 rich foods (salmon, flaxseeds), whole grains, garlic",
"Severe headache, vision problems, nosebleeds",Hypertensive Crisis,"Low-sodium foods, leafy greens, berries, dark chocolate",
"Unexplained fever, fatigue, enlarged spleen",Hodgkin’s Lymphoma,"Lean proteins, leafy greens, antioxidant-rich foods (blueberries, spinach)",
"Severe joint pain, skin nodules, unexplained fever",Rheumatoid Arthritis,"Omega-3 rich foods (salmon, walnuts), anti-inflammatory foods (ginger, turmeric)",
"Persistent fever, night sweats, swollen lymph nodes",Non-Hodgkin’s Lymphoma,"High-protein foods (chicken, beans), antioxidant-rich foods (blueberries, leafy greens)",
"Slow growth, frequent infections, delayed wound healing",Growth Hormone Deficiency,"Protein-rich foods (lean meats, eggs), healthy fats (avocados, nuts)",
"Sudden sharp chest pain, trouble breathing",Pericarditis,"Whole grains, lean proteins, omega-3 rich foods (salmon, chia seeds)",
"Severe stomach pain, vomiting, bloating",Gastritis,"Oatmeal, ginger, bananas, non-acidic fruits (melons)",
"Difficulty urinating, pain during urination, fever",Prostatitis,"Hydration, cranberry juice, garlic, omega-3 rich foods",
"Constant hunger, sudden weight loss, extreme thirst",Type 1 Diabetes,"Lean proteins, whole grains, leafy greens, omega-3 rich foods (fish, flaxseeds)",
"Tingling or numbness in feet, dry skin, blurred vision",Diabetic Neuropathy,"Whole grains, leafy greens, antioxidant-rich foods (berries, nuts)",
"Sudden weight loss, excessive thirst, blurry vision",Type 2 Diabetes,"High-fiber foods (whole grains, oats), berries, leafy greens",
"Frequent headaches, dry skin, thinning hair",Pituitary Tumor,"Protein-rich foods (lean meats, eggs), whole grains, leafy greens",
"Sudden severe headache, vomiting, neck stiffness",Brain Hemorrhage,"Hydration, antioxidant-rich foods (berries, green tea), magnesium-rich foods (spinach, almonds)",
"Painful blisters, itching, burning sensation",Shingles,"Vitamin C-rich foods (citrus fruits), leafy greens, garlic, honey",
"Rapid heart rate, dizziness, fainting",Atrial Fibrillation,"Omega-3 rich foods (salmon, flaxseeds), whole grains, magnesium-rich foods (spinach, avocados)",
"Unexplained weight loss, persistent cough, blood in sputum",Lung Cancer,"Cruciferous vegetables (broccoli, cabbage), omega-3 rich foods (fish, flaxseeds)",
"Coughing up blood, chest pain, shortness of breath",Pulmonary Edema,"Omega-3 rich foods (salmon, walnuts), leafy greens, garlic",
"Severe joint pain, redness, swelling",Gout,"Cherries, low-fat dairy, whole grains, vitamin C-rich foods (citrus fruits)",
"Frequent urination, blood in urine, lower back pain",Bladder Cancer,"Whole grains, lean proteins, antioxidant-rich foods (berries, leafy greens)",
"Sudden weakness, paralysis, difficulty speaking",Transient Ischemic Attack (TIA),"Omega-3 rich foods (salmon, walnuts), whole grains, antioxidant-rich foods (berries)",
"Chest pain, irregular heartbeat, shortness of breath",Myocardial Infarction,"Whole grains, omega-3 rich foods (fish, flaxseeds), berries",
"Severe leg pain, skin discoloration, swelling",Peripheral Neuropathy,"Whole grains, foods rich in B-vitamins (eggs, lean meats), leafy greens",
"Abdominal cramps, diarrhea, blood in stool",Diverticulitis,"High-fiber foods (oats, whole grains), lean proteins, probiotic-rich foods (yogurt, kimchi)",
"Persistent cough, weight loss, fatigue",Lung Fibrosis,"Omega-3 rich foods (salmon, chia seeds), leafy greens, antioxidant-rich foods (berries)",
"Difficulty breathing, chest pain, wheezing",Emphysema,"Omega-3 rich foods (fish, flaxseeds), anti-inflammatory foods (turmeric, ginger)",
"Severe headaches, nausea, sensitivity to light",Cluster Headaches,"Hydration, magnesium-rich foods (spinach, nuts), anti-inflammatory foods (berries, green tea)",
"Chest pain, heart palpitations, dizziness",Mitral Valve Prolapse,"Magnesium-rich foods (spinach, avocados), whole grains, leafy greens",
"Joint pain, swelling, fatigue, fever",Systemic Lupus,"Omega-3 rich foods (salmon, flaxseeds), anti-inflammatory foods (turmeric, ginger)",
"Severe pain, nausea, vomiting, inability to pass gas",Bowel Obstruction,"Hydration, easy-to-digest foods (broth, applesauce), small frequent meals",
"Difficulty swallowing, heartburn, regurgitation",Esophageal Cancer,"Non-acidic fruits (bananas, melons), lean proteins, whole grains",
"Sudden severe chest pain, difficulty breathing",Aortic Dissection,"Omega-3 rich foods (fish, flaxseeds), antioxidant-rich foods (berries, leafy greens)",
"Persistent bloating, pelvic pain, frequent urination",Ovarian Cancer,"Cruciferous vegetables (broccoli, cabbage), lean proteins, whole grains",
"Persistent cough, shortness of breath",Chronic Bronchitis,"Omega-3 rich foods (fish, flaxseeds), garlic, ginger",
"Severe chest pain, heartburn, difficulty swallowing",GERD (Acid Reflux),"Non-acidic fruits (bananas, melons), oats, ginger",
"Persistent itchy skin, fatigue, yellowing of the skin",Liver Cirrhosis,"Leafy greens, berries, lean proteins (chicken, fish)",
"Severe stomach pain, nausea, vomiting",Gallstones,"High-fiber foods (oats, beans), omega-3 rich foods",
"Fatigue, chest pain, leg swelling",Congestive Heart Failure,"Low-sodium foods, leafy greens, whole grains, berries",
"Sudden dizziness, nausea, hearing loss",Meniere’s Disease,"Low-sodium foods, whole grains, berries, lean proteins",
"Severe lower back pain, leg weakness, trouble walking",Sciatica,"Anti-inflammatory foods (turmeric, ginger), magnesium-rich foods (spinach, nuts)",
"Muscle weakness, twitching, difficulty speaking",ALS (Amyotrophic Lateral Sclerosis),"Antioxidant-rich foods (blueberries, spinach), omega-3 rich foods (salmon)",
"Bone pain, frequent fractures, muscle weakness",Osteoporosis,"Calcium-rich foods (yogurt, cheese), vitamin D-rich foods (salmon, fortified foods)",
"Sudden weight loss, hair thinning, rapid heartbeat",Hyperthyroidism,"Lean proteins, cruciferous vegetables (broccoli, cauliflower), whole grains",
"Swollen ankles, bloating, decreased urination",Nephrotic Syndrome,"Lean proteins, whole grains, low-sodium foods",
"Severe stomach pain, fever, jaundice",Pancreatitis,"Low-fat foods, leafy greens, antioxidant-rich foods (berries, nuts)",
"Sudden memory loss, confusion, difficulty walking",Alzheimer’s Disease,"Omega-3 rich foods (fish, flaxseeds), antioxidant-rich foods (berries, spinach)",
"Fatigue, weight gain, feeling cold",Hypothyroidism,"Iodine-rich foods (seaweed, dairy), selenium-rich foods (Brazil nuts, fish)",
"Swelling, redness, warmth in the knee",Bursitis,"Anti-inflammatory foods (turmeric, ginger), omega-3 rich foods",
"Chronic cough, shortness of breath, wheezing",Bronchiectasis,"Omega-3 rich foods (salmon, flaxseeds), garlic, leafy greens",
"Nausea, vomiting, abdominal pain",Peptic Ulcer,"Probiotic-rich foods (yogurt), leafy greens, whole grains",
"Persistent headaches, blurred vision, neck pain",Cervical Spondylosis,"Anti-inflammatory foods (ginger, turmeric), magnesium-rich foods (spinach, avocados)",
"Chronic constipation, abdominal bloating",IBS (Irritable Bowel Syndrome),"High-fiber foods (oats, whole grains), probiotics (yogurt, kefir)",
"Sudden chest pain, difficulty breathing, cough",Pulmonary Embolism,"Omega-3 rich foods (salmon, walnuts), leafy greens, whole grains",
"Pain in jaw, headaches, clicking sound when opening mouth",TMJ Disorder,"Anti-inflammatory foods (turmeric, ginger), magnesium-rich foods",
"Extreme fatigue, rash, sensitivity to sunlight",Lupus,"Omega-3 rich foods (salmon, flaxseeds), anti-inflammatory foods (turmeric, ginger)",
"Numbness, tingling, muscle weakness",Multiple Sclerosis,"Omega-3 rich foods (salmon, walnuts), vitamin D-rich foods (mushrooms, fortified foods)",
"Swelling, tenderness, and pain in joints",Psoriatic Arthritis,"Omega-3 rich foods (salmon, flaxseeds), anti-inflammatory foods (ginger, turmeric)",
"Persistent diarrhea, blood in stool, fatigue",Ulcerative Colitis,"Probiotic-rich foods (yogurt, kefir), lean proteins, leafy greens",
"Sudden severe headache, nausea, vision problems",Intracranial Hypertension,"Magnesium-rich foods (spinach, nuts), antioxidant-rich foods (berries, leafy greens)",
"Chest tightness, wheezing, coughing",Asthma,"Omega-3 rich foods (salmon, flaxseeds), garlic, ginger",
"Fever, rash, joint pain, fatigue",Dengue Fever,"Hydration, high-protein foods (eggs, chicken), vitamin C-rich foods (citrus fruits)",
"Chronic diarrhea, abdominal cramps, bloating",Celiac Disease,"Gluten-free grains (quinoa, rice), lean proteins, leafy greens",
"Joint pain, muscle pain, frequent infections",Sjogren’s Syndrome,"Omega-3 rich foods (salmon, walnuts), antioxidant-rich foods (blueberries, spinach)",
"Blurred vision, eye pain, sensitivity to light",Uveitis,"Vitamin A-rich foods (carrots, sweet potatoes), omega-3 rich foods",
"Severe knee pain, stiffness, and swelling",Osteoarthritis,"Anti-inflammatory foods (ginger, turmeric), omega-3 rich foods",
"Pain in lower back, hips, and stiffness",Ankylosing Spondylitis,"Anti-inflammatory foods (ginger, turmeric), omega-3 rich foods (salmon)",
"Persistent cough, fever, night sweats",Tuberculosis,"High-protein foods (lean meats, eggs), vitamin C-rich foods (citrus fruits, berries)",
"Sudden loss of vision, severe eye pain",Glaucoma,"Vitamin A-rich foods (carrots, sweet potatoes), leafy greens",
"Uncontrolled movements, cognitive decline",Huntington’s Disease,"Omega-3 rich foods (fish, walnuts), antioxidant-rich foods (berries, spinach)",
"Sudden intense pain in the back, leg pain, numbness",Herniated Disc,"Anti-inflammatory foods (ginger, turmeric), magnesium-rich foods (spinach, nuts)",
"Sudden joint pain, redness, tenderness",Septic Arthritis,"Lean proteins, high-protein foods (eggs, chicken), leafy greens",
"Persistent fever, fatigue, weight loss",HIV/AIDS,"High-protein foods (lean meats, eggs), omega-3 rich foods, whole grains",
"Severe chest pain, pain in back or neck, nausea",Aortic Aneurysm,"Omega-3 rich foods (salmon, flaxseeds), antioxidant-rich foods (berries, spinach)",
"Frequent urination, pain during urination",Kidney Infection,"Hydration (water), cranberry juice, garlic, lean proteins",
"Swelling in feet, ankles, or abdomen",Kidney Failure,"Low-sodium foods, lean proteins, whole grains, berries",
"Chronic leg pain, swelling, and skin discoloration",Deep Vein Thrombosis,"Omega-3 rich foods (fish, flaxseeds), leafy greens, garlic",
"Severe abdominal pain, vomiting, bloating",Appendicitis,"Hydration, easy-to-digest foods (broth, applesauce), small meals",
"Sudden severe headaches, sensitivity to light",Temporal Arteritis,"Anti-inflammatory foods (ginger, turmeric), omega-3 rich foods (salmon, walnuts)",
"Difficulty breathing, chest pain, fatigue",Cardiomyopathy,"Omega-3 rich foods (salmon, walnuts), whole grains, leafy greens",
"Difficulty moving fingers, numbness, muscle atrophy",Carpal Tunnel Syndrome,"Anti-inflammatory foods (ginger, turmeric), magnesium-rich foods (spinach, avocados)",
"Persistent hoarseness, difficulty swallowing, neck pain",Throat Cancer,"Non-acidic fruits (bananas, melons), lean proteins, whole grains",
"Extreme fatigue, shortness of breath, pale skin",Iron Deficiency Anemia,"Iron-rich foods (spinach, lentils, beef), vitamin C-rich foods (citrus fruits)",
"Severe leg pain, cramping, coldness in legs",Peripheral Artery Disease,"Omega-3 rich foods (salmon, flaxseeds), whole grains, garlic",
"Numbness in hands and feet, slow healing wounds",Diabetic Foot Ulcers,"High-fiber foods (whole grains), lean proteins, omega-3 rich foods",
"Sudden weakness, blurry vision, trouble walking",Stroke,"Omega-3 rich foods (fish, flaxseeds), whole grains, leafy greens",
"Persistent itching, rash, brittle nails",Psoriasis,"Omega-3 rich foods (salmon, walnuts), antioxidant-rich foods (berries, leafy greens)",
"Frequent nosebleeds, bleeding gums, easy bruising",Hemophilia,"Leafy greens, whole grains, vitamin K-rich foods (broccoli, kale)",
"Unexplained weight gain, moon face, muscle weakness",Cushing’s Syndrome,"Whole grains, lean proteins, omega-3 rich foods (fish, chia seeds)",
"Frequent infections, slow healing wounds, fatigue",Leukemia,"Lean proteins, antioxidant-rich foods (berries, spinach), whole grains",
"Fatigue, weakness, frequent yawning",Narcolepsy,"High-protein foods (eggs, chicken), omega-3 rich foods (fish, flaxseeds)",
"Fatigue, breathlessness, pale skin",Pernicious Anemia,"Vitamin B12-rich foods (beef, eggs, dairy), folate-rich foods (spinach, lentils)",
"Red patches on skin, pain, and swelling",Erythema Multiforme,"Anti-inflammatory foods (turmeric, ginger), omega-3 rich foods (salmon, walnuts)",
"Persistent sore throat, swollen lymph nodes",Mononucleosis,"High-protein foods (chicken, eggs), vitamin C-rich foods (citrus fruits, berries)",
"Extreme fatigue, muscle pain, memory issues",Chronic Fatigue Syndrome,"Omega-3 rich foods (fish, flaxseeds), antioxidant-rich foods (blueberries, spinach)",
"Sudden nausea, vomiting, diarrhea",Food Poisoning,"Hydration, probiotic-rich foods (yogurt), easy-to-digest foods (broth, bananas)",
"Itchy eyes, sneezing, runny nose",Allergic Rhinitis,"Anti-inflammatory foods (turmeric, ginger), vitamin C-rich foods (citrus fruits)",
"Cold intolerance, constipation, dry skin",Hashimoto’s Thyroiditis,"Iodine-rich foods (seaweed, dairy), selenium-rich foods (Brazil nuts, eggs)",
"Painful urination, cloudy urine, frequent urination",Urinary Tract Infection,"Hydration, cranberry juice, garlic, leafy greens",
"Persistent bloating, abdominal pain, diarrhea",Small Intestinal Bacterial Overgrowth (SIBO),"Low FODMAP foods (bananas, carrots, oats), probiotic-rich foods (yogurt, kefir)",
"Severe leg pain, tenderness, warm skin",Varicose Veins,"Omega-3 rich foods (fish, flaxseeds), magnesium-rich foods (spinach, avocados)",
"Persistent cough, fatigue, frequent infections",Bronchiolitis,"Omega-3 rich foods (salmon, flaxseeds), garlic, ginger",
"Severe jaw pain, clicking sound, facial swelling",Jaw Tumor,"Anti-inflammatory foods (ginger, turmeric), omega-3 rich foods (fish, walnuts)",
